url	first_seen	portal	title	company	status	location
https://www.linkedin.com/jobs/view/4384192963	2026-06-19	jobspy-linkedin	DevOps Engineer 2	Illumina	added	
https://in.indeed.com/viewjob?jk=739c69bab591311e	2026-06-19	jobspy-indeed	SRE (Site Reliability Engineer) / Platform Engineer	Codevian Technologies Pvt Ltd	added	Kolkata, West Bengal
https://www.linkedin.com/jobs/view/4426856476	2026-06-19	jobspy-linkedin	AWS Cloud Engineer	algoleap	added	
https://www.linkedin.com/jobs/view/4429249418	2026-06-19	jobspy-linkedin	DevOps Engineer	Kamakhya Analytics Private Limited	added	
https://www.linkedin.com/jobs/view/4428088257	2026-06-19	jobspy-linkedin	DevOps Engineer 2	Cashfree Payments	added	
https://www.linkedin.com/jobs/view/4428068446	2026-06-19	jobspy-linkedin	DevOps/SRE Engineer - Remote Work	BairesDev	added	Remote
https://www.linkedin.com/jobs/view/4429228290	2026-06-19	jobspy-linkedin	Senior Software Engineer, DevSecOps Engineering	Whirlpool Corporation	added	
https://www.linkedin.com/jobs/view/4426828997	2026-06-19	jobspy-linkedin	SRE+AWS Devops	Virtusa	added	
https://www.linkedin.com/jobs/view/4429511048	2026-06-19	jobspy-linkedin	Staff Site Reliability Engineer (AWS, Terraform, Distributed Systems)	Visa	added	Remote
https://www.linkedin.com/jobs/view/4394414906	2026-06-19	jobspy-linkedin	AWS & SRE	Infosys	added	
https://www.linkedin.com/jobs/view/4426801959	2026-06-19	jobspy-linkedin	Cloud Engineer	FactSet	added	
https://www.linkedin.com/jobs/view/4408618771	2026-06-19	jobspy-linkedin	TechOps-CloudOps-DevOps-Staff	EY	added	Remote
https://www.linkedin.com/jobs/view/4427042095	2026-06-19	jobspy-linkedin	Cloud Engineer - Microsoft Azure and M365	Netrix Global	added	Remote
https://www.linkedin.com/jobs/view/4421940723	2026-06-19	jobspy-linkedin	Senior DevOps Engineer	HDFC Bank	added	
https://weworkremotely.com/remote-jobs/intelmatix-mid-senior-devops-engineer-egypt	2026-06-19	remote-weworkremotely	Mid/Senior DevOps Engineer (Egypt)	Intelmatix	added	Anywhere in the World
https://weworkremotely.com/remote-jobs/hyundai-motors-devops-virtual-development-engineer	2026-06-19	remote-weworkremotely	DevOps Virtual Development Engineer	HYUNDAI MOTORS	added	Anywhere in the World
https://weworkremotely.com/remote-jobs/lemon-io-senior-platform-site-reliability-engineer	2026-06-19	remote-weworkremotely	Senior Platform/Site Reliability Engineer	Lemon.io	added	Anywhere in the World
https://weworkremotely.com/remote-jobs/alice-devops-engineer	2026-06-19	remote-weworkremotely	DevOps Engineer	Alice	added	Anywhere in the World
